#OTU ID,ShivSClk1S12Osnat20,ShivSClk2S15Osnat2,ShivSClk3S16Osnat23,ShivSClk4S17Osnat24,ShivSClk5S18Osnat25,ShivSLimek1S13Osnat21,ShivSLimek2S14Osnat22,ShivSLimek3S19Osnat3,ShivSLimek4S20Osnat4,ShivSLimek5S21Osnat5,ShivSLimek6S25Osnat9,SlpClk1S3Osnat1,SlpClk2S4Osnat12,SlpClk3S5Osnat13,SlpClk4S6Osnat14,SlpClk5S7Osnat15,SlpClk6S8Osnat16,SlpClk7S9Osnat17,SlpClk8S10Osnat18,SlpClk9S11Osnat19,SlpLime1S1Osnat10,SlpLime2S2Osnat11,SlpLime3S22Osnat6,SlpLime4S23Osnat7,SlpLime5S24Osnat8
OTU33,2863,198,123,760,2297,507,394,172,786,1559,577,603,1174,755,162,1461,2074,1056,1287,86,913,1016,1125,1908,876
OTU22,10823,4,0,23,333,11,7,4,30,1,4,55,2,30,8,4,7,9,41,43,9,2,86,34,16
OTU4,389,1,28,23,187,3063,48,4,68,2359,283,0,716,211,140,6787,5024,10803,3509,73,297,88,1273,2859,344
OTU31,92,4140,12,564,1332,82,164,4,6,183,2,195,30,491,66,141,23,49,210,414,4,428,573,833,16
OTU89,11,0,0,18,2,3,3,0,2,272,1,1,122,54,0,179,1111,37,40,28,0,234,5,2709,44
OTU35,7994,362,47,981,1011,21,57,43,102,326,327,501,391,164,55,94,200,345,145,84,156,393,120,720,624
OTU3,19759,1248,530,1625,23161,3205,370,7,46,1203,257,2556,498,8210,946,315,371,594,4270,388,139,414,141,3110,433
OTU525,6,23,0,8,24,0,1,0,0,7,4,15,5,10,17,3,10,28,2,7,1,1,25,4,11
OTU368,35,0,6,6,12,24,10,1,23,0,0,5,0,41,3,0,8,0,45,23,1,0,0,0,1
OTU79,814,110,78,941,677,20,65,16,32,48,89,253,39,101,71,6,54,58,19,26,249,394,15,126,143
OTU442,79,1,0,8,6,1,0,2,50,1,6,1,3,23,4,0,2,0,24,7,0,1,0,0,0
OTU132,5,2,1,1,21,4,5,3,2,0,0,2,1,1,25,127,89,482,125,0,1,5,39,4,10
OTU91,61,96,58,294,840,256,38,2,81,179,429,227,191,351,48,113,473,274,432,34,610,192,49,482,403
OTU5,344,0,0,6,32,0,1,11,276,88,6818,1,4267,894,4,4,807,6,62,2,2119,9229,1,5,6059
OTU12,218,410,420,896,334,1239,1290,3,34,2126,3421,78,888,1266,555,4121,2048,1194,580,171,3619,1304,218,5422,1656
OTU149,660,42,2,39,19,1,1,3,1,0,5,88,0,29,7,2,1,0,1,6,8,1,7,18,2
