"","S.obs","S.obs.se","S.chao1","S.chao1.se","S.ACE","S.ACE.se"
"ShivSClk1S12",265.753,8.40384775022727,322.229733076122,18.3969776743235,314.686202244384,8.48518223378245
"ShivSClk2S15",397.88,12.5820703542779,473.403095653522,22.3852433266359,468.227028381036,10.8518177597116
"ShivSClk3S16",330.19,10.44152460611,420.257856379939,25.9777422711536,416.932505354053,10.4204341760804
"ShivSClk4S17",360.123,11.3880891781282,465.539686127755,28.5059705015237,469.084502457919,11.2606162410558
"ShivSClk5S18",286.656,9.06485864953227,391.134099482198,30.7367303982885,375.701245204205,9.89822922431187
"ShivSLimek1S13",242.081,7.65527338251221,310.397800249488,22.2743781222069,310.708442800531,9.03321037250685
"ShivSLimek2S14",431.804,13.6548414277135,516.893049497829,23.5432219697393,512.990483920977,11.3867377164951
"ShivSLimek3S19",224.484,7.09880738265239,358.066607429543,39.6364003277142,379.917953384207,11.5605388121328
"ShivSLimek4S20",327.841,10.3672427038726,418.287224613619,26.3427285468077,404.428239390198,10.1163116718858
"ShivSLimek5S21",276.075,8.73025805030985,427.178613364204,41.8926971022468,423.150930354726,11.2829941831873
"ShivSLimek6S25",271.363,8.58125152696272,399.188110113716,35.9972726313053,412.460980220376,11.5635783263539
"SlpClk1S3",371.261,11.7403036639177,463.12915306512,25.4675482901959,466.486038638075,11.0742528552273
"SlpClk2S4",282.373,8.92941829734726,403.915389388261,34.2214337798336,408.492853891589,10.846840183637
"SlpClk3S5",343.676,10.8679893713603,448.350103033935,28.2664511069243,440.215542132726,10.68117224856
"SlpClk4S6",305.108,9.64836212338654,425.49078983376,34.4761545310593,414.920530222646,10.6833601650305
"SlpClk5S7",236.352,7.47410649536117,345.409502867425,34.6053739231245,344.727830337293,10.1436960385704
"SlpClk6S8",336.297,10.6346449028165,417.162416833896,23.7162444923231,411.028831061649,10.1718100034107
"SlpClk7S9",257.114,8.13065858316533,384.37817334785,37.4379535102856,391.581770982984,11.1058782795169
"SlpClk8S10",279.83,8.84900157644918,340.804444528642,21.0022023924656,336.382726723507,9.19411134081724
"SlpClk9S11",316,9.99279740613208,500.52380952381,45.5435789891873,523.494132810095,12.9135752125722
"SlpLime1S1",247.968,7.84143666836633,360.022798691881,34.8056912855217,355.651200308125,10.0807951171638
"SlpLime2S2",338.537,10.7054799224042,442.970370403265,29.2985681743646,440.967986640531,10.887353179314
"SlpLime3S22",381.382,12.0603577859034,485.639118504766,27.3225623198412,488.354763789748,11.4210151127282
"SlpLime4S23",327.111,10.3441580769534,430.713846311481,29.2740794475016,434.484913537938,10.9265929911233
"SlpLime5S24",375.912,11.8873811978922,490.033353642474,30.550627351912,487.837384858307,11.4603925834863
