"","OTU","Domain","Phylum","Class","Order","Family","Genus","Differential abundance","Significance","ymin","ymax","Mean abundance (%)"
"1","OTU704","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","Desulfothermus",2.72663219699862,"Fail",NA,NA,0.00112167491541045
"2","OTU781","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",0.746929698701063,"Fail",NA,NA,0.00368311388491739
"3","OTU763","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",2.94030269813273,"Fail",NA,NA,0.00134436849739779
"4","OTU755","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",0.405381108304777,"Fail",NA,NA,0.0182193934710065
"5","OTU242","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",0.885810274039513,"Fail",NA,NA,0.0218476589347294
"6","OTU100","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",0.541448696413964,"Fail",NA,NA,0.233316188840349
"7","OTU676","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",-0.571058340786808,"Fail",NA,NA,0.00448575416993109
"8","OTU103","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",1.6598717086045,"Fail",NA,NA,0.0847741604439678
"9","OTU332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Pseudaminobacter",0.871299782186897,"Fail",NA,NA,0.0168752019141512
"10","OTU604","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",1.2219814396526,"Fail",NA,NA,0.00305602749961392
"11","OTU142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",-1.44275929832345,"Fail",NA,NA,0.11435678004029
"12","OTU595","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",0.461091936405565,"Fail",NA,NA,0.00357097195026516
"13","OTU401","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",-0.0988784234732965,"Fail",NA,NA,0.497512365051752
"14","OTU135","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",-1.06926503620805,"Fail",NA,NA,0.125606393514271
"15","OTU18","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.805483459183197,"Fail",NA,NA,0.691531718303578
"16","OTU609","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Actibacterium",1.52320190715127,"Fail",NA,NA,0.00257737068254343
"17","OTU487","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maribius",1.98457105387401,"Fail",NA,NA,0.0105787442601097
