"","OTU","Domain","Phylum","Class","Order","Family","Genus","Differential abundance","Significance","ymin","ymax","Mean abundance (%)"
"1","OTU704","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","Desulfothermus",2.83851855563461,"Fail",NA,NA,0.00112167491541045
"2","OTU781","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",-1.74590429679156,"Fail",NA,NA,0.00368311388491739
"3","OTU763","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",0.863931043722883,"Fail",NA,NA,0.00134436849739779
"4","OTU755","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",2.54601688704843,"Fail",NA,NA,0.0182193934710065
"5","OTU242","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",-1.08031997216895,"Fail",NA,NA,0.0218476589347294
"6","OTU100","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",1.51126323352552,"Fail",NA,NA,0.233316188840349
"7","OTU676","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",0.835363376122055,"Fail",NA,NA,0.00448575416993109
"8","OTU103","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",3.45600511975652,"Fail",NA,NA,0.0847741604439678
"9","OTU332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Pseudaminobacter",-0.947859767830501,"Fail",NA,NA,0.0168752019141512
"10","OTU604","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",-0.649774735248095,"Fail",NA,NA,0.00305602749961392
"11","OTU142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",-1.41736535479587,"Fail",NA,NA,0.11435678004029
"12","OTU595","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",-1.05251837036417,"Fail",NA,NA,0.00357097195026516
"13","OTU401","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",-0.13350213595213,"Fail",NA,NA,0.497512365051752
"14","OTU135","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",-0.920381477406144,"Fail",NA,NA,0.125606393514271
"15","OTU18","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.821070276974949,"Fail",NA,NA,0.691531718303578
"16","OTU609","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Actibacterium",3.44929916394338,"Fail",NA,NA,0.00257737068254343
"17","OTU487","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maribius",1.87180244492658,"Fail",NA,NA,0.0105787442601097
"18","OTU621","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marinovum",1.09946384916637,"Fail",NA,NA,0.00337126437659858
"19","OTU119","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",-0.101009589665488,"Fail",NA,NA,0.0840303293715859
"20","OTU232","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",0.0363316881900137,"Fail",NA,NA,0.0192695314020818
"21","OTU572","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",-0.532053509021409,"Fail",NA,NA,0.0152574736783475
"22","OTU156","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter",1.3073678519503,"Fail",NA,NA,0.0497718799581869
"23","OTU643","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",1.32102072307418,"Fail",NA,NA,0.0228711353766612
"24","OTU409","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",-1.23459265253276,"Fail",NA,NA,0.00533609316997702
"25","OTU82","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",-1.40584897423115,"Fail",NA,NA,0.175212506954947
"26","OTU450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",0.966652206767341,"Fail",NA,NA,0.0132770594806675
"27","OTU382","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","DUNssu044","Unclassified",-4.05116555656657,"Pass",-6.79664885833012,-1.30568225480302,0.00891014078464274
"28","OTU126","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Bauldia",2.90271999019537,"Pass",1.12241503211805,4.6830249482727,0.0403803017493736
"29","OTU596","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",0.734416983448181,"Fail",NA,NA,0.00375658136519753
"30","OTU141","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",-2.88642761052497,"Fail",NA,NA,0.0395429054824515
"31","OTU709","Bacteria","Proteobacteria","Alphaproteobacteria","E6aD10","Unclassified","Unclassified",-1.74443986970091,"Fail",NA,NA,0.0055577000868819
"32","OTU361","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aureimonas",2.61595897032034,"Pass",1.05733875072206,4.17457918991862,0.0139629931742872
"33","OTU176","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",-2.39989222548978,"Pass",-4.02483268837628,-0.774951762603278,0.04035847457472
"34","OTU741","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",2.27929076115997,"Fail",NA,NA,0.00980467532912448
"35","OTU260","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",-0.948661473121866,"Fail",NA,NA,0.024359675546472
"36","OTU155","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",-0.790278039446345,"Fail",NA,NA,0.0365412996593221
"37","OTU625","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter",-0.00780814034233388,"Fail",NA,NA,0.0088714758562042
"38","OTU97","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",-1.51632526712083,"Fail",NA,NA,0.07011242098121
"39","OTU154","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Chelatococcus",0.303708015646443,"Fail",NA,NA,0.046448590780009
"40","OTU422","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",-0.244800558132518,"Fail",NA,NA,0.0120230161561331
"41","OTU577","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga",-0.759487270972139,"Fail",NA,NA,0.0277260055741248
"42","OTU179","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","1174-901-12","Unclassified",1.07380617526002,"Fail",NA,NA,0.0226683613919121
"43","OTU689","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum",-0.941460831479221,"Fail",NA,NA,0.00321568131273611
"44","OTU716","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum",0.58046721431277,"Fail",NA,NA,0.00425867036551935
"45","OTU411","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",-0.984343830754129,"Fail",NA,NA,0.0156494257671872
"46","OTU333","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodocista",4.2315870888117,"Pass",2.29892121876851,6.16425295885489,0.0118843632859311
"47","OTU677","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Rubritepida",-1.53654673232062,"Fail",NA,NA,0.00111111913895727
"48","OTU279","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium",0.713989182066491,"Fail",NA,NA,0.00996608008417809
"49","OTU169","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium",0.0455876757569595,"Fail",NA,NA,0.0321634319988511
"50","OTU470","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",0.586220569672798,"Fail",NA,NA,0.00270388809824064
"51","OTU433","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",-0.477927482736447,"Fail",NA,NA,0.0075599143990247
"52","OTU472","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",-1.13601753109385,"Fail",NA,NA,0.00434927064166201
"53","OTU236","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",-1.949516695952,"Fail",NA,NA,0.0146851566008597
"54","OTU268","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",-0.02738979659575,"Fail",NA,NA,0.0248209986529844
"55","OTU55","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",-1.87295261398359,"Pass",-3.02565195985657,-0.720253268110615,0.263965766735513
"56","OTU298","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",-0.983945344047351,"Fail",NA,NA,0.0231335214610899
"57","OTU477","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Belnapia",-2.2618313496401,"Pass",-3.6271454790689,-0.896517220211312,0.0175156368486554
