"","OTU","Domain","Phylum","Class","Order","Family","Genus","Differential abundance","Significance","ymin","ymax","Mean abundance (%)"
"1","OTU704","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfohalobiaceae","Desulfothermus",0.0773223608866498,"Fail",NA,NA,0.00112167491541045
"2","OTU781","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",-0.717612928560835,"Fail",NA,NA,0.00368311388491739
"3","OTU763","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",-1.52766927812817,"Fail",NA,NA,0.00134436849739779
"4","OTU755","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",0.718762192101181,"Fail",NA,NA,0.0182193934710065
"5","OTU242","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",-0.751692927030522,"Fail",NA,NA,0.0218476589347294
"6","OTU100","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","Unclassified",0.149544733544094,"Fail",NA,NA,0.233316188840349
"7","OTU676","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",0.845051564972016,"Fail",NA,NA,0.00448575416993109
"8","OTU103","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",2.95661920949312,"Fail",NA,NA,0.0847741604439678
"9","OTU332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Pseudaminobacter",-0.585207528510814,"Fail",NA,NA,0.0168752019141512
"10","OTU604","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",-0.871791629489936,"Fail",NA,NA,0.00305602749961392
"11","OTU142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",0.605300956763238,"Fail",NA,NA,0.11435678004029
"12","OTU595","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","Unclassified",-0.167868494677384,"Fail",NA,NA,0.00357097195026516
"13","OTU401","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",-0.0533467101205342,"Fail",NA,NA,0.497512365051752
"14","OTU135","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.599181584658872,"Fail",NA,NA,0.125606393514271
"15","OTU18","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",-1.10612002630829,"Fail",NA,NA,0.691531718303578
"16","OTU609","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Actibacterium",-1.54213408048618,"Fail",NA,NA,0.00257737068254343
"17","OTU487","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maribius",2.37150544750822,"Fail",NA,NA,0.0105787442601097
"18","OTU621","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marinovum",2.12018602972564,"Pass",0.62066431272817,3.61970774672312,0.00337126437659858
"19","OTU119","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",1.26102451196944,"Fail",NA,NA,0.0840303293715859
"20","OTU232","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",3.25779088353015,"Pass",1.49702552897385,5.01855623808645,0.0192695314020818
"21","OTU572","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",1.4714360382476,"Fail",NA,NA,0.0152574736783475
"22","OTU156","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter",3.6079783443731,"Pass",1.88152459835977,5.33443209038644,0.0497718799581869
"23","OTU643","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",-0.274805705969357,"Fail",NA,NA,0.0228711353766612
"24","OTU409","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",0.630114546041019,"Fail",NA,NA,0.00533609316997702
"25","OTU82","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicella",-0.781308840298893,"Fail",NA,NA,0.175212506954947
"26","OTU450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",0.802116480264642,"Fail",NA,NA,0.0132770594806675
"27","OTU382","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","DUNssu044","Unclassified",0.905192966756312,"Fail",NA,NA,0.00891014078464274
"28","OTU126","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Bauldia",1.38096976996063,"Fail",NA,NA,0.0403803017493736
"29","OTU596","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",0.920523720724054,"Fail",NA,NA,0.00375658136519753
"30","OTU141","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",0.179509760567061,"Fail",NA,NA,0.0395429054824515
"31","OTU709","Bacteria","Proteobacteria","Alphaproteobacteria","E6aD10","Unclassified","Unclassified",0.0233955544918494,"Fail",NA,NA,0.0055577000868819
"32","OTU361","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aureimonas",-0.0867989362881208,"Fail",NA,NA,0.0139629931742872
"33","OTU176","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",3.2797883062055,"Pass",1.92998175397407,4.62959485843693,0.04035847457472
"34","OTU741","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",-0.77427748246914,"Fail",NA,NA,0.00980467532912448
"35","OTU260","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",1.30139009099598,"Fail",NA,NA,0.024359675546472
"36","OTU155","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",0.73578250727708,"Fail",NA,NA,0.0365412996593221
"37","OTU625","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter",0.410336153954966,"Fail",NA,NA,0.0088714758562042
"38","OTU97","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",2.86699665370002,"Pass",1.50012179006953,4.2338715173305,0.07011242098121
"39","OTU154","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Chelatococcus",1.41797942016051,"Pass",0.433444437108764,2.40251440321226,0.046448590780009
"40","OTU422","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",0.00910224114369993,"Fail",NA,NA,0.0120230161561331
"41","OTU577","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga",1.53901461271195,"Pass",0.650185557069953,2.42784366835396,0.0277260055741248
"42","OTU179","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","1174-901-12","Unclassified",2.60598269202264,"Pass",0.933935338622338,4.27803004542294,0.0226683613919121
"43","OTU689","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum",-2.36447792080181,"Fail",NA,NA,0.00321568131273611
"44","OTU716","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum",-0.0957749495297911,"Fail",NA,NA,0.00425867036551935
"45","OTU411","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",0.666322971900919,"Fail",NA,NA,0.0156494257671872
"46","OTU333","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodocista",-0.930203547481636,"Fail",NA,NA,0.0118843632859311
"47","OTU677","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Rubritepida",-0.337942011542875,"Fail",NA,NA,0.00111111913895727
"48","OTU279","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium",2.2653461779817,"Fail",NA,NA,0.00996608008417809
"49","OTU169","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium",3.4292720488676,"Fail",NA,NA,0.0321634319988511
"50","OTU470","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",2.16229237019634,"Pass",0.735467567376305,3.58911717301638,0.00270388809824064
"51","OTU433","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",1.98728553462461,"Fail",NA,NA,0.0075599143990247
"52","OTU472","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",1.27454359511584,"Fail",NA,NA,0.00434927064166201
"53","OTU236","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",0.432785191779087,"Fail",NA,NA,0.0146851566008597
"54","OTU268","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",0.779243542368057,"Fail",NA,NA,0.0248209986529844
"55","OTU55","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",0.531937820344828,"Fail",NA,NA,0.263965766735513
"56","OTU298","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",-0.273760927920053,"Fail",NA,NA,0.0231335214610899
"57","OTU477","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Belnapia",1.50296342562359,"Fail",NA,NA,0.0175156368486554
"58","OTU782","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",-0.0972456623397621,"Fail",NA,NA,0.00045029237601789
"59","OTU39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",2.74751405732834,"Pass",1.4142124655558,4.08081564910088,0.268904283481215
"60","OTU667","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",-0.675262225339827,"Fail",NA,NA,0.00281914785182309
"61","OTU713","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111","Unclassified",-0.28778986743453,"Fail",NA,NA,0.000867699084458623
"62","OTU733","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111","Unclassified",-1.7032168571845,"Fail",NA,NA,0.00443551397552852
"63","OTU185","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_Incertae_Sedis","Constrictibacter",0.0165583080762588,"Fail",NA,NA,0.0220571383999901
"64","OTU217","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_Incertae_Sedis","Constrictibacter",-0.675651297168963,"Fail",NA,NA,0.0223710714816715
"65","OTU444","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_Incertae_Sedis","Constrictibacter",-0.293772463504082,"Fail",NA,NA,0.00381113718981194
"66","OTU749","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter",1.606610536164,"Pass",0.495044232932601,2.7181768393954,0.0081625856700742
"67","OTU752","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.436554383578946,"Fail",NA,NA,0.00109073010358762
"68","OTU171","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",3.71102940448512,"Pass",2.44032518444473,4.98173362452552,0.154996065999995
"69","OTU15","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","JG34-KF-161","Unclassified",-0.196824545936072,"Fail",NA,NA,1.16455068068537
"70","OTU706","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.695023099954832,"Fail",NA,NA,0.022486180285883
"71","OTU29","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",1.82329260940962,"Pass",0.640292732846683,3.00629248597255,0.538914797525666
"72","OTU656","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",1.68172968923756,"Pass",0.552826676546421,2.8106327019287,0.0170209319031768
"73","OTU24","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",1.110480605558,"Fail",NA,NA,0.640932959714054
"74","OTU267","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","7B-8","Unclassified",0.923605434377698,"Fail",NA,NA,0.0407579572770392
"75","OTU775","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",-0.36263611593427,"Fail",NA,NA,0.00478774385243002
"76","OTU120","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Candidatus_Rosenkranzia",-1.19887903650325,"Fail",NA,NA,2.32817488181646
"77","OTU189","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Unclassified",1.60978822883347,"Fail",NA,NA,0.0293013906520883
"78","OTU331","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Unclassified",1.03946477825504,"Fail",NA,NA,0.00982512834021844
"79","OTU213","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Unclassified",4.76244734145148,"Pass",1.77018964136706,7.7547050415359,0.0167927945344119
"80","OTU383","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","Unclassified",2.19262191303103,"Pass",1.09481323328855,3.29043059277352,0.0069455131133796
"81","OTU785","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Hyalangium",-1.01372069150939,"Fail",NA,NA,0.00282656300144058
"82","OTU631","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Hyalangium",-0.938000932027266,"Fail",NA,NA,0.00686084976979443
"83","OTU653","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",-1.06629356361687,"Fail",NA,NA,0.00562654558838866
"84","OTU413","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","0319-6G20","Unclassified",-0.486568642786101,"Fail",NA,NA,0.00346369129467529
"85","OTU748","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","0319-6G20","Unclassified",-2.64121330408784,"Fail",NA,NA,0.00414197886460344
"86","OTU750","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",1.06472607065863,"Fail",NA,NA,0.00317973002845134
"87","OTU510","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",2.13650196527766,"Fail",NA,NA,0.00706755140666383
"88","OTU227","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",2.1559749800388,"Fail",NA,NA,0.0240600637459265
"89","OTU780","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",19.0139609469424,"Fail",NA,NA,0.00149571440336565
"90","OTU295","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",-1.15303765022563,"Fail",NA,NA,0.00521363047294942
"91","OTU774","Bacteria","Rare","Phycisphaerae","WD2101_soil_group","Unclassified","Unclassified",0.669258970767029,"Fail",NA,NA,0.00427586449284168
"92","OTU777","Bacteria","Rare","Phycisphaerae","WD2101_soil_group","Unclassified","Unclassified",1.52523518770516,"Fail",NA,NA,0.00509758510880865
"93","OTU779","Bacteria","Rare","Phycisphaerae","WD2101_soil_group","Unclassified","Unclassified",-0.0268109956489237,"Fail",NA,NA,0.00292642223730255
"94","OTU255","Bacteria","Rare","Phycisphaerae","B103G10","Unclassified","Unclassified",-0.759411918231213,"Fail",NA,NA,0.00933955673602628
"95","OTU720","Bacteria","Rare","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",-0.940914439581102,"Fail",NA,NA,0.00575670016288319
"96","OTU650","Bacteria","Rare","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",2.06160650146395,"Fail",NA,NA,0.0102198343462276
"97","OTU303","Bacteria","Rare","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",-0.403523530685173,"Fail",NA,NA,0.00756479477501047
"98","OTU662","Bacteria","Rare","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage",-0.915301488321793,"Fail",NA,NA,0.00511803846738858
"99","OTU531","Bacteria","Rare","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir3_lineage",-3.28347438719297,"Fail",NA,NA,0.00223046420707964
